Country,CupsPerDay
Afghanistan,0.5
Albania,4.9
Algeria,3
Andorra,2.7
Angola,2.4
Antigua and Barbuda,2.5
Argentina,3.9
Armenia,3
Australia,6.4
Austria,5.5
Azerbaijan,2.1
Bahamas,2.8
Bahrain,2.3
Bangladesh,0.9
Barbados,3.1
Belarus,4.1
Belgium,7.4
Belize,2.2
Benin,4.8
Bhutan,2.8
Bolivia,4.2
Bosnia and Herzegovina,2.6
Botswana,3.5
Brazil,3.1
Brunei,4.2
Bulgaria,2.8
Burkina Faso,1.8
Burundi,3.6
Cabo Verde,3.3
Cambodia,2.7
Cameroon,3.1
Canada,6
Central African Republic,0.7
Chad,1.8
Chile,4
China,6.5
Colombia,3.6
Comoros,1.5
Congo,2.4
Costa Rica,3.1
Croatia,3.7
Cuba,5
Cyprus,2.7
Czech Republic,5.5
Denmark,5.5
Djibouti,0.6
Dominica,4.7
Dominican Republic,3.6
Ecuador,4.9
Egypt,3.2
El Salvador,4.6
Equatorial Guinea,2.8
Eritrea,1.3
Estonia,6.7
Eswatini,2.8
Ethiopia,2.6
Fiji,3.3
Finland,5.7
France,6.8
Gabon,3.7
Gambia,1
Georgia,2.2
Germany,5.4
Ghana,5
Greece,4.4
Grenada,4
Guatemala,3.8
Guinea,0.8
Guinea-Bissau,1.9
Guyana,4.9
Haiti,4.2
Honduras,2.5
Hungary,7.2
Iceland,4.5
India,4.4
Indonesia,5.5
Iran,1.6
Iraq,1
Ireland,7.6
Israel,4.4
Italy,6.1
Jamaica,2.9
Japan,6.5
Jordan,4.7
Kazakhstan,3.6
Kenya,3.9
Kiribati,4.8
Kuwait,3
Kyrgyzstan,4.4
Laos,3.6
Latvia,7.4
Lebanon,2.9
Lesotho,4.2
Liberia,3.7
Libya,1.8
Liechtenstein,4.5
Lithuania,7.5
Luxembourg,3.2
Madagascar,2.4
Malawi,4.2
Malaysia,6.9
Maldives,3.6
Mali,0.7
Malta,4.7
Marshall Islands,3.2
Mauritania,1.9
Mauritius,3.8
Mexico,3.8
Micronesia,4.6
Moldova,3.7
Monaco,4.8
Mongolia,2.5
Montenegro,3.8
Morocco,4.2
Mozambique,4.8
Myanmar,2.3
Namibia,4.5
Nauru,4.8
Nepal,3.6
Netherlands,6.2
New Zealand,6
Nicaragua,2
Niger,0.8
Nigeria,4.8
North Korea,3
North Macedonia,3.4
Norway,6.4
Oman,2.5
Pakistan,0.8
Palau,3.1
Panama,3.9
Papua New Guinea,4
Paraguay,4.9
Peru,3.2
Philippines,5
Poland,6.8
Portugal,7.2
Qatar,4.7
Romania,2.6
Russia,3.4
Rwanda,2.2
Saint Kitts and Nevis,3.4
Saint Lucia,3.3
Saint Vincent and the Grenadines,3.7
Samoa,2.5
San Marino,4.8
Sao Tome and Principe,2.8
Saudi Arabia,3.2
Senegal,2.5
Serbia,4
Seychelles,2.7
Sierra Leone,1.3
Singapore,5.3
Slovakia,5.5
Slovenia,5.7
Solomon Islands,2.7
Somalia,1.7
South Africa,3.2
South Korea,5.6
South Sudan,1.8
Spain,5.3
Sri Lanka,2.1
Sudan,1.2
Suriname,4.7
Sweden,6
Switzerland,6.1
Syria,0.5
Taiwan,3.2
Tajikistan,3.3
Tanzania,4.8
Thailand,2.4
Timor-Leste,3.5
Togo,4.4
Tonga,2.1
Trinidad and Tobago,3.6
Tunisia,2.8
Turkey,4.5
Turkmenistan,3.6
Tuvalu,2.8
Uganda,4.7
Ukraine,3.7
United Arab Emirates,3.7
United Kingdom,7.5
United States,5
Uruguay,4.7
Uzbekistan,3.8
Vanuatu,4
Vatican City,4.7
Venezuela,3.1
Vietnam,2.1
Yemen,1.5
Zambia,3.8
Zimbabwe,3.2
