Year,MillionBags
1825,5.13
1830,3.5
1835,4.91
1840,2.19
1845,3.29
1850,3.28
1855,4.02
1860,3.35
1865,5.59
1870,4.32
1875,4.83
1880,2.87
1885,5.54
1890,5.67
1895,4.37
1900,6.13
1905,7.27
1910,16.11
1915,9.49
1920,8.22
1925,17.91
1930,14.87
1935,15.08
1940,19.33
1945,8.09
1950,65.94
1955,53.26
1960,38.7
1965,28.38
1970,56.68
1975,61.33
1980,31.29
1985,47.97
1990,43.58
1995,40.38
2000,157.57
2005,94.97
2010,106.53
2015,160.04
2020,98.63
2021,147.78
2022,170.12
2023,167.98
2024,180.78
